cause,date,canine,state
Gunfire,6/7/2003,FALSE, AL
Gunfire,11/18/2002,FALSE, AL
Vehicle pursuit,6/6/2002,FALSE, AL
Gunfire,3/25/2002,FALSE, AL
Automobile accident,2/17/2002,FALSE, AL
Automobile accident,12/17/2001,FALSE, AL
Heart attack,10/1/2001,FALSE, AL
Vehicle pursuit,5/31/2001,FALSE, AL
Vehicular assault,1/5/2001,FALSE, AL
Vehicular assault,12/1/2000,FALSE, AL
Automobile accident,1/31/1999,FALSE, AL
Automobile accident,1/31/1999,FALSE, AL
Struck by vehicle,7/7/1998,FALSE, AL
Gunfire,6/27/1998,FALSE, AL
Bomb,1/29/1998,FALSE, AL
Gunfire,10/10/1997,FALSE, AL
Gunfire,9/24/1997,FALSE, AL
Automobile accident,7/4/1997,FALSE, AL
Assault,3/23/1997,FALSE, AL
Automobile accident,3/4/1997,FALSE, AL
Vehicular assault,1/18/1997,FALSE, AL
Motorcycle accident,12/13/1996,FALSE, AL
Automobile accident,9/30/1996,FALSE, AL
Gunfire,9/26/1996,FALSE, AL
Automobile accident,2/26/1996,FALSE, AL
Gunfire,9/17/1995,FALSE, AL
Automobile accident,7/31/1995,FALSE, AL
Gunfire,7/19/1995,FALSE, AL
Vehicular assault,5/6/1995,FALSE, AL
Motorcycle accident,4/10/1995,FALSE, AL
Gunfire,1/25/1995,FALSE, AL
Motorcycle accident,1/22/1995,FALSE, AL
Gunfire,11/1/1994,FALSE, AL
Assault,10/23/1994,FALSE, AL
Gunfire,10/3/1994,FALSE, AL
Gunfire,6/28/1994,FALSE, AL
Gunfire,6/14/1994,FALSE, AL
Automobile accident,6/9/1994,FALSE, AL
Gunfire,10/4/1993,FALSE, AL
Automobile accident,7/16/1993,FALSE, AL
Automobile accident,7/14/1993,FALSE, AL
Automobile accident,7/14/1993,FALSE, AL
Automobile accident,6/8/1992,FALSE, AL
Vehicular assault,5/21/1992,FALSE, AL
Automobile accident,5/2/1992,FALSE, AL
Automobile accident,10/3/1991,FALSE, AL
Automobile accident,7/28/1991,FALSE, AL
Struck by vehicle,12/14/1990,FALSE, AL
Automobile accident,9/27/1990,FALSE, AL
Aircraft accident,8/1/1990,FALSE, AL
Aircraft accident,8/1/1990,FALSE, AL
Automobile accident,7/21/1990,FALSE, AL
Aircraft accident,5/30/1990,FALSE, AL
Heart attack,2/14/1990,FALSE, AL
Stabbed,1/12/1990,FALSE, AL
Gunfire (Accidental),10/22/1989,FALSE, AL
Motorcycle accident,8/7/1989,FALSE, AL
Vehicular assault,6/24/1989,FALSE, AL
Automobile accident,5/27/1989,FALSE, AL
Automobile accident,5/16/1989,FALSE, AL
Automobile accident,2/11/1989,FALSE, AL
Automobile accident,9/17/1988,FALSE, AL
Vehicular assault,5/12/1988,FALSE, AL
Aircraft accident,5/9/1988,FALSE, AL
Gunfire,12/19/1987,FALSE, AL
Gunfire,12/19/1987,FALSE, AL
Gunfire,10/11/1987,FALSE, AL
Gunfire,10/2/1987,FALSE, AL
Motorcycle accident,9/19/1987,FALSE, AL
Automobile accident,10/14/1986,FALSE, AL
Gunfire,9/13/1986,FALSE, AL
Vehicular assault,9/4/1986,FALSE, AL
Gunfire,7/13/1986,FALSE, AL
Gunfire,5/25/1986,FALSE, AL
Automobile accident,9/27/1985,FALSE, AL
Vehicle pursuit,8/31/1985,FALSE, AL
Gunfire,8/9/1985,FALSE, AL
Automobile accident,5/25/1985,FALSE, AL
Gunfire,5/23/1985,FALSE, AL
Gunfire,5/20/1985,FALSE, AL
Gunfire,4/18/1985,FALSE, AL
Gunfire,1/26/1985,FALSE, AL
Vehicular assault,1/19/1985,FALSE, AL
Automobile accident,12/21/1984,FALSE, AL
Automobile accident,7/27/1984,FALSE, AL
Heart attack,6/26/1984,FALSE, AL
Automobile accident,4/7/1984,FALSE, AL
Automobile accident,4/7/1984,FALSE, AL
Heart attack,2/26/1984,FALSE, AL
Heart attack,2/12/1984,FALSE, AL
Motorcycle accident,9/16/1983,FALSE, AL
Gunfire,7/12/1983,FALSE, AL
Gunfire,1/12/1983,FALSE, AL
Assault,11/28/1982,FALSE, AL
Gunfire (Accidental),10/31/1982,FALSE, AL
Gunfire,7/4/1982,FALSE, AL
Struck by vehicle,7/3/1982,FALSE, AL
Gunfire,6/7/1982,FALSE, AL
Gunfire,1/5/1982,FALSE, AL
Gunfire,11/26/1981,FALSE, AL
Automobile accident,11/21/1981,FALSE, AL
Gunfire,10/1/1981,FALSE, AL
Vehicular assault,6/12/1981,FALSE, AL
Gunfire,1/27/1981,FALSE, AL
Gunfire,12/25/1980,FALSE, AL
Heart attack,10/12/1980,FALSE, AL
Automobile accident,7/16/1980,FALSE, AL
Gunfire,6/21/1980,FALSE, AL
Gunfire,4/8/1980,FALSE, AL
Gunfire (Accidental),3/9/1980,FALSE, AL
Vehicle pursuit,12/22/1979,FALSE, AL
Gunfire,11/29/1979,FALSE, AL
Gunfire,9/13/1979,FALSE, AL
Gunfire,8/14/1979,FALSE, AL
Bomb,5/2/1979,FALSE, AL
Gunfire,3/1/1979,FALSE, AL
Fire,2/24/1979,FALSE, AL
Gunfire,12/24/1978,FALSE, AL
Automobile accident,11/2/1978,FALSE, AL
Gunfire,8/12/1978,FALSE, AL
Vehicle pursuit,7/21/1978,FALSE, AL
Vehicular assault,7/21/1978,FALSE, AL
Automobile accident,5/3/1978,FALSE, AL
Motorcycle accident,3/11/1978,FALSE, AL
Gunfire,1/31/1978,FALSE, AL
Gunfire,8/19/1977,FALSE, AL
Gunfire,8/3/1977,FALSE, AL
Heart attack,7/4/1976,FALSE, AL
Motorcycle accident,5/5/1976,FALSE, AL
Gunfire,1/11/1976,FALSE, AL
Gunfire,1/6/1976,FALSE, AL
Gunfire,11/17/1975,FALSE, AL
Gunfire,11/17/1975,FALSE, AL
Duty related illness,8/9/1975,FALSE, AL
Vehicular assault,5/31/1975,FALSE, AL
Gunfire (Accidental),5/26/1975,FALSE, AL
Motorcycle accident,5/15/1975,FALSE, AL
Gunfire,3/15/1975,FALSE, AL
Gunfire,2/22/1975,FALSE, AL
Gunfire,11/16/1974,FALSE, AL
Gunfire,11/16/1974,FALSE, AL
Heart attack,9/19/1974,FALSE, AL
Automobile accident,6/27/1974,FALSE, AL
Motorcycle accident,5/23/1974,FALSE, AL
Vehicular assault,4/19/1974,FALSE, AL
Stabbed,3/12/1974,FALSE, AL
Gunfire,2/21/1974,FALSE, AL
Struck by vehicle,1/20/1974,FALSE, AL
Stabbed,1/18/1974,FALSE, AL
Gunfire,10/7/1973,FALSE, AL
Gunfire,8/6/1973,FALSE, AL
Gunfire,7/29/1973,FALSE, AL
Heart attack,5/8/1973,FALSE, AL
Heart attack,1/17/1973,FALSE, AL
Gunfire,1/11/1973,FALSE, AL
Heart attack,1/7/1973,FALSE, AL
Automobile accident,12/29/1972,FALSE, AL
Gunfire,12/10/1972,FALSE, AL
Gunfire,12/10/1972,FALSE, AL
Gunfire,10/16/1972,FALSE, AL
Automobile accident,9/24/1972,FALSE, AL
Heart attack,8/16/1972,FALSE, AL
Automobile accident,3/25/1972,FALSE, AL
Electrocuted,12/17/1971,FALSE, AL
Gunfire,7/30/1971,FALSE, AL
Automobile accident,7/11/1971,FALSE, AL
Gunfire,7/8/1971,FALSE, AL
Heart attack,7/4/1971,FALSE, AL
Vehicle pursuit,6/13/1971,FALSE, AL
Vehicle pursuit,6/13/1971,FALSE, AL
Gunfire,4/11/1971,FALSE, AL
Stabbed,3/29/1971,FALSE, AL
Motorcycle accident,2/14/1971,FALSE, AL
Motorcycle accident,11/9/1970,FALSE, AL
Automobile accident,10/25/1970,FALSE, AL
Vehicle pursuit,10/10/1970,FALSE, AL
Vehicle pursuit,8/21/1970,FALSE, AL
Gunfire,7/1/1970,FALSE, AL
Struck by vehicle,6/3/1970,FALSE, AL
Gunfire,6/3/1970,FALSE, AL
Automobile accident,5/24/1970,FALSE, AL
Automobile accident,12/5/1969,FALSE, AL
Vehicular assault,11/21/1969,FALSE, AL
Vehicle pursuit,8/10/1969,FALSE, AL
Struck by train,7/31/1969,FALSE, AL
Gunfire,7/13/1969,FALSE, AL
Motorcycle accident,6/28/1969,FALSE, AL
Gunfire,5/4/1969,FALSE, AL
Automobile accident,4/13/1969,FALSE, AL
Gunfire,3/7/1969,FALSE, AL
Gunfire,12/20/1968,FALSE, AL
Vehicle pursuit,9/21/1968,FALSE, AL
Gunfire,8/27/1968,FALSE, AL
Vehicular assault,6/24/1968,FALSE, AL
Struck by vehicle,1/15/1968,FALSE, AL
Automobile accident,11/12/1967,FALSE, AL
Automobile accident,11/5/1967,FALSE, AL
Heart attack,9/17/1967,FALSE, AL
Automobile accident,7/19/1967,FALSE, AL
Automobile accident,12/7/1966,FALSE, AL
Motorcycle accident,6/3/1966,FALSE, AL
Gunfire,11/13/1965,FALSE, AL
Gunfire,10/31/1965,FALSE, AL
Automobile accident,2/27/1965,FALSE, AL
Automobile accident,2/11/1965,FALSE, AL
Motorcycle accident,12/22/1964,FALSE, AL
Gunfire,10/6/1964,FALSE, AL
Gunfire,9/2/1964,FALSE, AL
Gunfire,6/29/1964,FALSE, AL
Gunfire,6/14/1964,FALSE, AL
Gunfire,5/1/1964,FALSE, AL
Gunfire,3/26/1964,FALSE, AL
Struck by vehicle,11/9/1963,FALSE, AL
Gunfire,8/18/1963,FALSE, AL
Gunfire,8/18/1963,FALSE, AL
Gunfire,8/8/1963,FALSE, AL
Automobile accident,10/4/1962,FALSE, AL
Motorcycle accident,7/24/1962,FALSE, AL
Motorcycle accident,7/23/1962,FALSE, AL
Gunfire,5/21/1962,FALSE, AL
Vehicle pursuit,4/30/1962,FALSE, AL
Automobile accident,12/13/1961,FALSE, AL
Automobile accident,11/9/1961,FALSE, AL
Automobile accident,9/20/1961,FALSE, AL
Accidental,10/2/1960,FALSE, AL
Motorcycle accident,7/25/1960,FALSE, AL
Gunfire,7/20/1960,FALSE, AL
Gunfire,12/13/1959,FALSE, AL
Gunfire,12/8/1959,FALSE, AL
Struck by vehicle,6/14/1958,FALSE, AL
Vehicle pursuit,6/4/1958,FALSE, AL
Assault,12/10/1957,FALSE, AL
Vehicle pursuit,11/8/1957,FALSE, AL
Gunfire,11/7/1957,FALSE, AL
Gunfire,8/7/1957,FALSE, AL
Gunfire,7/12/1957,FALSE, AL
Gunfire,5/11/1957,FALSE, AL
Gunfire,4/1/1957,FALSE, AL
Heart attack,11/19/1956,FALSE, AL
Vehicle pursuit,11/16/1956,FALSE, AL
Heart attack,6/23/1956,FALSE, AL
Gunfire,8/6/1955,FALSE, AL
Gunfire,6/21/1955,FALSE, AL
Vehicular assault,4/2/1955,FALSE, AL
Struck by vehicle,1/8/1955,FALSE, AL
Struck by vehicle,1/8/1955,FALSE, AL
Heart attack,9/7/1954,FALSE, AL
Stabbed,6/22/1954,FALSE, AL
Gunfire,5/14/1954,FALSE, AL
Motorcycle accident,12/5/1953,FALSE, AL
Gunfire,11/3/1953,FALSE, AL
Struck by vehicle,10/27/1953,FALSE, AL
Motorcycle accident,10/3/1953,FALSE, AL
Automobile accident,3/30/1953,FALSE, AL
Vehicle pursuit,12/7/1952,FALSE, AL
Automobile accident,11/21/1952,FALSE, AL
Automobile accident,11/21/1952,FALSE, AL
Gunfire,9/18/1952,FALSE, AL
Gunfire,9/13/1952,FALSE, AL
Gunfire,9/13/1952,FALSE, AL
Vehicle pursuit,5/20/1952,FALSE, AL
Gunfire,5/10/1952,FALSE, AL
Gunfire,5/10/1952,FALSE, AL
Gunfire,4/13/1952,FALSE, AL
Gunfire,8/9/1951,FALSE, AL
Gunfire,5/18/1951,FALSE, AL
Gunfire,5/17/1951,FALSE, AL
Gunfire,5/17/1951,FALSE, AL
Gunfire,4/4/1951,FALSE, AL
Gunfire,4/4/1951,FALSE, AL
Automobile accident,10/1/1950,FALSE, AL
Vehicular assault,9/29/1950,FALSE, AL
Gunfire,10/8/1949,FALSE, AL
Assault,6/29/1948,FALSE, AL
Gunfire,5/7/1948,FALSE, AL
Gunfire,4/14/1948,FALSE, AL
Gunfire,1/3/1947,FALSE, AL
Gunfire,11/26/1946,FALSE, AL
Gunfire,8/20/1946,FALSE, AL
Gunfire,7/12/1945,FALSE, AL
Gunfire,10/13/1944,FALSE, AL
Motorcycle accident,9/24/1944,FALSE, AL
Explosion,9/1/1943,FALSE, AL
Gunfire,6/15/1943,FALSE, AL
Gunfire,12/1/1942,FALSE, AL
Gunfire,12/1/1942,FALSE, AL
Struck by vehicle,12/1/1942,FALSE, AL
Gunfire,11/17/1942,FALSE, AL
Gunfire (Accidental),7/4/1942,FALSE, AL
Automobile accident,7/17/1941,FALSE, AL
Motorcycle accident,7/12/1941,FALSE, AL
Gunfire,3/24/1941,FALSE, AL
Gunfire,10/7/1939,FALSE, AL
Fall,5/3/1939,FALSE, AL
Gunfire,1/31/1939,FALSE, AL
Gunfire,9/8/1938,FALSE, AL
Motorcycle accident,8/3/1938,FALSE, AL
Gunfire,5/22/1938,FALSE, AL
Gunfire,1/24/1938,FALSE, AL
Motorcycle accident,10/16/1937,FALSE, AL
Gunfire,6/13/1937,FALSE, AL
Motorcycle accident,9/5/1936,FALSE, AL
Motorcycle accident,8/2/1936,FALSE, AL
Gunfire,7/22/1936,FALSE, AL
Struck by vehicle,6/30/1936,FALSE, AL
Gunfire,4/30/1936,FALSE, AL
Motorcycle accident,4/1/1936,FALSE, AL
Gunfire,1/29/1936,FALSE, AL
Gunfire,10/31/1935,FALSE, AL
Gunfire,10/15/1935,FALSE, AL
Gunfire,4/15/1935,FALSE, AL
Gunfire,2/8/1935,FALSE, AL
Gunfire,8/27/1934,FALSE, AL
Motorcycle accident,4/23/1934,FALSE, AL
Gunfire,10/29/1933,FALSE, AL
Gunfire,8/7/1933,FALSE, AL
Gunfire,3/20/1933,FALSE, AL
Automobile accident,10/24/1932,FALSE, AL
Gunfire,9/30/1932,FALSE, AL
Gunfire,6/29/1932,FALSE, AL
Gunfire,5/3/1932,FALSE, AL
Gunfire,11/20/1931,FALSE, AL
Gunfire,9/10/1931,FALSE, AL
Gunfire,8/21/1931,FALSE, AL
Gunfire,8/12/1931,FALSE, AL
Automobile accident,5/23/1931,FALSE, AL
Gunfire,11/19/1930,FALSE, AL
Motorcycle accident,8/8/1930,FALSE, AL
Gunfire,4/24/1930,FALSE, AL
Gunfire,3/27/1930,FALSE, AL
Gunfire,10/18/1929,FALSE, AL
Gunfire,9/1/1929,FALSE, AL
Gunfire (Accidental),8/22/1929,FALSE, AL
Gunfire,7/23/1929,FALSE, AL
Gunfire,6/12/1929,FALSE, AL
Vehicle pursuit,1/1/1929,FALSE, AL
Gunfire,12/11/1928,FALSE, AL
Exposure to toxins,8/27/1928,FALSE, AL
Gunfire,3/3/1928,FALSE, AL
Gunfire,11/11/1927,FALSE, AL
Gunfire,11/11/1927,FALSE, AL
Gunfire,10/11/1927,FALSE, AL
Gunfire,9/27/1927,FALSE, AL
Gunfire,6/14/1927,FALSE, AL
Gunfire,5/26/1927,FALSE, AL
Gunfire,2/12/1927,FALSE, AL
Gunfire (Accidental),1/27/1927,FALSE, AL
Gunfire,11/23/1926,FALSE, AL
Gunfire,7/18/1926,FALSE, AL
Gunfire,1/22/1926,FALSE, AL
Gunfire,9/9/1925,FALSE, AL
Gunfire,8/26/1925,FALSE, AL
Stabbed,12/21/1924,FALSE, AL
Gunfire,11/2/1924,FALSE, AL
Vehicular assault,12/12/1923,FALSE, AL
Gunfire,10/20/1923,FALSE, AL
Struck by vehicle,8/15/1923,FALSE, AL
Gunfire,10/1/1922,FALSE, AL
Gunfire,9/28/1922,FALSE, AL
Gunfire,4/26/1922,FALSE, AL
Gunfire,4/26/1922,FALSE, AL
Gunfire,2/20/1922,FALSE, AL
Gunfire,2/6/1922,FALSE, AL
Gunfire,1/4/1922,FALSE, AL
Stabbed,2/12/1921,FALSE, AL
Gunfire,1/22/1921,FALSE, AL
Gunfire,9/19/1920,FALSE, AL
Gunfire,7/28/1920,FALSE, AL
Gunfire,7/7/1920,FALSE, AL
Gunfire,3/17/1920,FALSE, AL
Gunfire,10/19/1919,FALSE, AL
Gunfire,10/15/1919,FALSE, AL
Gunfire,9/29/1919,FALSE, AL
Gunfire,7/20/1919,FALSE, AL
Gunfire,6/1/1919,FALSE, AL
Gunfire,2/26/1919,FALSE, AL
Gunfire,2/26/1919,FALSE, AL
Gunfire,9/27/1918,FALSE, AL
Gunfire,8/15/1918,FALSE, AL
Gunfire,6/15/1918,FALSE, AL
Gunfire,6/13/1918,FALSE, AL
Gunfire,3/1/1918,FALSE, AL
Gunfire,2/26/1918,FALSE, AL
Gunfire,1/22/1918,FALSE, AL
Gunfire,1/26/1917,FALSE, AL
Gunfire,9/10/1916,FALSE, AL
Gunfire,8/17/1916,FALSE, AL
Gunfire,5/26/1916,FALSE, AL
Gunfire,2/29/1916,FALSE, AL
Gunfire,11/20/1915,FALSE, AL
Gunfire,2/1/1915,FALSE, AL
Gunfire,2/1/1915,FALSE, AL
Gunfire,12/22/1914,FALSE, AL
Gunfire,12/7/1914,FALSE, AL
Gunfire,9/12/1914,FALSE, AL
Gunfire,9/12/1914,FALSE, AL
Gunfire,8/30/1914,FALSE, AL
Gunfire,5/31/1914,FALSE, AL
Gunfire,5/23/1914,FALSE, AL
Gunfire,5/2/1914,FALSE, AL
Gunfire,12/5/1913,FALSE, AL
Gunfire,10/13/1913,FALSE, AL
Gunfire,9/29/1913,FALSE, AL
Gunfire (Accidental),9/26/1913,FALSE, AL
Gunfire,9/15/1913,FALSE, AL
Gunfire,11/20/1912,FALSE, AL
Gunfire,1/1/1912,FALSE, AL
Gunfire,10/23/1911,FALSE, AL
Gunfire,8/4/1911,FALSE, AL
Gunfire,6/25/1911,FALSE, AL
Gunfire,5/24/1911,FALSE, AL
Gunfire,2/14/1911,FALSE, AL
Gunfire,1/6/1911,FALSE, AL
Gunfire,12/25/1910,FALSE, AL
Gunfire,11/8/1910,FALSE, AL
Gunfire,10/5/1910,FALSE, AL
Gunfire,8/17/1910,FALSE, AL
Gunfire,6/19/1910,FALSE, AL
Gunfire,11/23/1909,FALSE, AL
Gunfire,8/30/1909,FALSE, AL
Gunfire,1/21/1909,FALSE, AL
Gunfire,11/7/1908,FALSE, AL
Gunfire,9/5/1908,FALSE, AL
Gunfire,9/5/1908,FALSE, AL
Gunfire,7/17/1908,FALSE, AL
Gunfire,3/10/1908,FALSE, AL
Gunfire,11/2/1907,FALSE, AL
Gunfire,6/8/1907,FALSE, AL
Gunfire,5/12/1907,FALSE, AL
Gunfire,4/8/1907,FALSE, AL
Gunfire,11/25/1906,FALSE, AL
Gunfire,10/6/1906,FALSE, AL
Gunfire,7/15/1905,FALSE, AL
Gunfire,7/2/1905,FALSE, AL
Gunfire,6/3/1905,FALSE, AL
Gunfire,5/31/1905,FALSE, AL
Gunfire,4/28/1905,FALSE, AL
Gunfire,6/15/1904,FALSE, AL
Assault,11/22/1903,FALSE, AL
Gunfire,9/27/1903,FALSE, AL
Gunfire,9/26/1903,FALSE, AL
Stabbed,4/6/1903,FALSE, AL
Gunfire,8/28/1902,FALSE, AL
Gunfire,6/30/1902,FALSE, AL
Gunfire,4/7/1902,FALSE, AL
Gunfire,4/7/1902,FALSE, AL
Gunfire,4/7/1902,FALSE, AL
Gunfire,4/7/1902,FALSE, AL
Gunfire,4/7/1902,FALSE, AL
Gunfire,4/6/1902,FALSE, AL
Gunfire,3/18/1902,FALSE, AL
Gunfire,10/14/1901,FALSE, AL
Gunfire,4/1/1901,FALSE, AL
Gunfire,3/28/1900,FALSE, AL
Gunfire,3/28/1900,FALSE, AL
Assault,3/3/1900,FALSE, AL
Gunfire,1898-11-27,FALSE, AL
Gunfire,1896-02-15,FALSE, AL
Gunfire,1895-09-15,FALSE, AL
Gunfire,1895-07-03,FALSE, AL
Gunfire,1895-04-13,FALSE, AL
Gunfire,1895-04-06,FALSE, AL
Gunfire,1894-10-29,FALSE, AL
Gunfire,1894-07-24,FALSE, AL
Gunfire,1894-07-24,FALSE, AL
Gunfire,1894-07-15,FALSE, AL
Gunfire,1894-02-26,FALSE, AL
Gunfire,1893-12-14,FALSE, AL
Gunfire,1893-05-22,FALSE, AL
Gunfire,1892-12-10,FALSE, AL
Gunfire,1890-12-01,FALSE, AL
Gunfire,1889-09-27,FALSE, AL
Gunfire,1889-04-05,FALSE, AL
Gunfire,1888-11-22,FALSE, AL
Gunfire,1888-01-24,FALSE, AL
Assault,1887-07-07,FALSE, AL
Gunfire,1886-10-01,FALSE, AL
Gunfire,1886-08-24,FALSE, AL
Stabbed,1884-02-01,FALSE, AL
Assault,1883-10-08,FALSE, AL
Gunfire,1845-12-04,FALSE, AL
Heat exhaustion,7/15/2015,TRUE, AR
Gunfire,5/15/2015,FALSE, AR
Vehicular assault,3/17/2014,FALSE, AR
Drowned,5/31/2013,FALSE, AR
Drowned,5/31/2013,FALSE, AR
Heart attack,4/8/2013,FALSE, AR
Heart attack,3/26/2013,FALSE, AR
Automobile accident,3/2/2013,FALSE, AR
Vehicular assault,2/1/2013,FALSE, AR
Stabbed,1/20/2012,FALSE, AR
Gunfire,4/13/2011,FALSE, AR
Gunfire,5/20/2010,FALSE, AR
Gunfire,5/20/2010,FALSE, AR
Assault,1/31/2010,FALSE, AR
Struck by vehicle,11/16/2009,FALSE, AR
Gunfire,6/19/2009,FALSE, AR
Accidental,1/27/2009,FALSE, AR
Aircraft accident,11/16/2008,FALSE, AR
Heart attack,4/23/2008,FALSE, AR
Automobile accident,2/4/2008,FALSE, AR
Gunfire,3/23/2007,FALSE, AR
Automobile accident,2/10/2006,FALSE, AR
Gunfire,2/4/2006,FALSE, AR
Vehicle pursuit,9/12/2005,FALSE, AR
Automobile accident,6/21/2005,FALSE, AR
Heart attack,2/1/2004,FALSE, AR
Vehicle pursuit,9/11/2003,FALSE, AR
Fall,8/5/2003,FALSE, AR
Motorcycle accident,6/1/2002,FALSE, AR
Gunfire,2/2/2002,FALSE, AR
Automobile accident,2/14/2001,FALSE, AR
Struck by vehicle,12/14/2000,FALSE, AR
Gunfire,6/4/2000,FALSE, AR
Automobile accident,9/2/1998,FALSE, AR
Automobile accident,8/13/1998,FALSE, AR
Gunfire,6/30/1998,FALSE, AR
Motorcycle accident,4/23/1998,FALSE, AR
Automobile accident,3/19/1998,FALSE, AR
Vehicular assault,2/8/1998,FALSE, AR
Vehicular assault,2/8/1998,FALSE, AR
Drowned,1/5/1998,FALSE, AR
Automobile accident,12/31/1997,FALSE, AR
Automobile accident,11/18/1997,FALSE, AR
Automobile accident,8/2/1997,FALSE, AR
Gunfire,4/24/1997,FALSE, AR
Gunfire,3/16/1997,FALSE, AR
Gunfire,3/14/1997,FALSE, AR
Automobile accident,1/28/1997,FALSE, AR
Heart attack,4/10/1996,FALSE, AR
Gunfire,2/12/1996,FALSE, AR
Stabbed,11/29/1995,FALSE, AR
Gunfire,11/7/1995,FALSE, AR
Gunfire,8/6/1995,FALSE, AR
Gunfire,2/7/1995,FALSE, AR
Vehicle pursuit,5/21/1993,FALSE, AR
Gunfire,5/15/1993,FALSE, AR
Assault,11/12/1992,FALSE, AR
Automobile accident,10/2/1992,FALSE, AR
Vehicular assault,8/27/1992,FALSE, AR
Heart attack,1/9/1992,FALSE, AR
